tweet_id,target,text,span,category
1658491862158568960,Alevi,"@ilyassalmansm Ya  nasıl da itiraf  ediyon  ,,,kemalin iki koyun gudemiceni adımız  gibi bildiğiniz  halde sırf alevi olduğu için mezhebine dolayı destekliyonuz  ,,çok yazık cokkk","sırf alevi olduğu için,mezhebine dolayı destekliyonuz","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1394777639550849025,Jew,@efedemirhann #Katilİsrail,#Katilİsrail,Swearing; Insult; Defamation; Dehumanization
1658729108950401024,LGBTI+,@eylulttuzun @gusholderhaber Lgbt gibi bir sapkın akımı destekleyen kim? Kemal Kılıçdaroğlu. Daha yaptığı tonla saçmalığı saysak heralde sabah kadar sayarız. Umarım gözleriniz açılır bir gün 🙏,Lgbt gibi bir sapkın akımı destekleyen,Swearing; Insult; Defamation; Dehumanization
1416520108604805123,Jew,"İsrail zulmüne devam ediyor, bizim yine elimizden gelen sadece tweet atabilmek. Allah üzerine ebabil kuşlarını yağdırsın itrail. Bittiğin,tükendiğin günleri görmek bize nasip olsun.
#StopTheRaid","itrail,Allah üzerine ebabil kuşlarını yağdırsın,Bittiğin,tükendiğin günleri görmek bize nasip olsun","Swearing; Insult; Defamation; Dehumanization,Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm"
1547507066176258048,Greek,"@fatmayo8 @dbdevletbahceli Yani bizim yüksek sesle itiraz etmemiz siyaset gereği.
Ses çıkarsak da çıkarmasak da sahipleri Yunanistan'ı silahlandırmaya devam edecek, yapmak istedikleri ileride Türkiye'yi işgal. Başaramayacaklar ama hedefleri o.","sahipleri Yunanistan'ı silahlandırmaya devam edecek,yapmak istedikleri ileride Türkiye'yi işgal","Exaggeration; Generalization; Attribution; Distortion,Threat of Enmity; War; Attack; Murder; or Harm"
1534946173093560322,Greek,"Bu işler, Yunanlı politikacıların şımarıklığına kurban edilemeyecek kadar önemlidir

Yunanistan bunu bilmiyorsa, öğretiriz. ABD 'ye de fazla güvenmeyin. ABD nin bizim karşımıza çıkabilecek durumu yok

#ŞakamızYokYunanistan
ANSIZIN GELEBİLİRİZ https://t.co/psDotbJcwz","Yunanlı politikacıların şımarıklığına,ANSIZIN GELEBİLİRİZ,Yunanistan bunu bilmiyorsa, öğretiriz.","Swearing; Insult; Defamation; Dehumanization,Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm"
1566426337321144323,Greek,"Yunanistan için tehlike sirenleri çalıyor… 
Titre Yunanistan… 
Bir gece ansızın gelebiliriz… https://t.co/B2mymnsRen",Bir gece ansızın gelebiliriz,Threat of Enmity; War; Attack; Murder; or Harm
1396527354403561476,Jew,"Şeref yoksunu İsrail, bu kadarsın şu görüntüde sivile yaptığın eziyetsin sen. #AksadaBaskinVar #AksadaZulumVar #FilistininYanındayız #FreePalaestine #HearGaza #IsraelTerrorist #KudusBizimdir #Kuduesİslamındır #NetanyahuGenocide #ResistGaza #işgalsürüyor https://t.co/2x83V9CuN6","Şeref yoksunu İsrail,işgalsürüyor,NetanyahuGenocide","Swearing; Insult; Defamation; Dehumanization,Exaggeration; Generalization; Attribution; Distortion,Exaggeration; Generalization; Attribution; Distortion"
1393306568503054342,Jew,Faşist terörist katil devlet İsrail Almanlar sizin soyunuzu kırmadı mı niye Filistinlilere saldırıyorsunuz sizi gaz odalarına gönderen Almanya’ya saldırmıyorsunuz #MescidiAksa #MescidiAksaOnurumuzdur #MescidiAksaDirenisi,sizi gaz odalarına gönderen Almanya’ya saldırmıyorsunuz,Swearing; Insult; Defamation; Dehumanization
1391724155914047491,Jew,"Orduyu gönderme zamanı gelmedi mi
#AksadaBaskınVar",Orduyu gönderme zamanı gelmedi mi,Threat of Enmity; War; Attack; Murder; or Harm
1394664093928280066,Jew,"@username @username #ErdoğanınYanındayız ve hükümetimizden daha sert yaptırımlar, daha etkili adımlar bekliyoruz.

Tek ümidimiz tek şansımız @username.
O varken bu şansı denemeliyiz.
Yoksa belki de 100 yıl bekleyeceğiz.
Yaparsa Resimiz yapar.
#kahrolsunisrail
#Katilİsrail

#ErdoğanYüzyılınLideri","#kahrolsunisrail,#Katilİsrail","Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization"
1658451607388865024,Armenian,"@spottanliq @CryptObjektiff @CryptObjektiff  hocam, böyle haklı diyen, Ermeni tohumu , PKK pi*cleri engelle... 

@SiberayEGM  , @EmniyetGM",Ermeni tohumu,Swearing; Insult; Defamation; Dehumanization
1409366203538149379,Jew,"YahudiLaknatullahGoToHell#
#الاقصى يحتاج جيش
AqsaCallsArmies#
OrdularAksaya#
HidupTanpaRiba#
🇮🇩❤️🇵🇸🤲🕋⌛🏴# https://t.co/TOcprL7yvp",YahudiLaknatullahGoToHell,Swearing; Insult; Defamation; Dehumanization
1561720281999310850,Greek,@sigaramcamel @Abdquil Batıya karşı savaş ama batinin kopyası ol.Adamlar senin çoluk çocuğunu kessin ama sen git dost ol.Saraylarda agirla.Sonra gelip buralarda milliyetçilik kas.Kimin düz salak olduğu belli.Ya salaksın ya da yunan!,ya da yunan,Swearing; Insult; Defamation; Dehumanization
1394073842193207298,Jew,"@username Biz uyumuyoruz !#GazzedeSoykırım #GazzedeSoykırım 
#GazzedeKatliamVar","#GazzedeSoykırım,#GazzedeKatliamVar","Exaggeration; Generalization; Attribution; Distortion,Exaggeration; Generalization; Attribution; Distortion"
1501842096071839744,Greek,"@rac_ata Üni’deyken yurtdışında, standlar kurardı şerefsiz Yunan Ermenistan ve Kükürt tayfası yan yana. Türklerin yaptıkları katliamlar diye uyduruk fotoğraflar koyarlardı, millet de inanırdı, 21-22 yaşındaydım yine tek başıma karşı dururdum, acayip sinirleniyordum gördükçe","şerefsiz Yunan,Türklerin yaptıkları katliamlar diye uyduruk fotoğraflar","Swearing; Insult; Defamation; Dehumanization,Exaggeration; Generalization; Attribution; Distortion"
1396889867804725257,Jew,@trtworld Ya Kahhar şu itrail i kahreyle ya Rabbi 🤲🤲🤲,itrail,Swearing; Insult; Defamation; Dehumanization
1568468545398251520,Greek,"İzmir'de ama bu sefer gerçek anlamda Düşmanı denize dökme zamanı geldi, İzmir'de  Bir tek Yunan tohumu kalmayacak şekilde düşmandan Arındırılmalı.

Birde çıkmış İzmir'e ayrı parası ve bayrağı olmalı diyor.

(Bu Sözlerim sadece Yunan tohumlarına)

Terbiyesiz #HaddiniBilTunçSoyer https://t.co/EwdZ4a92Q0","Yunan tohumu,gerçek anlamda Düşmanı denize dökme zamanı,Bir tek Yunan tohumu kalmayacak şekilde düşmandan Arındırılmalı,Terbiyesiz","Exaggeration; Generalization; Attribution; Distortion,Threat of Enmity; War; Attack; Murder; or Harm,Threat of Enmity; War; Attack; Murder; or Harm,Swearing; Insult; Defamation; Dehumanization"
1534984389322473472,Greek,Atinaya türk bayrağını astırmayın uyarılarımızı dikkate alsanız sizin menfaatinize olur aksi durumda biz masada size verilenleri geri almış oluruz #ŞakamızYokYunanistan https://t.co/GHJie0xy8L,"Atinaya türk bayrağını astırmayın uyarılarımızı dikkate alsanız sizin menfaatinize olur,aksi durumda biz masada size verilenleri geri almış oluruz","Exaggeration; Generalization; Attribution; Distortion,Threat of Enmity; War; Attack; Murder; or Harm"
1658156671430959104,Armenian,@tubaprlkcfc @alicanpas @hsnksc8787 @the_vatansever @orvelozbayrak @fercur @kilicdarogluk Canan kaftancıoğlu ve benzeri ermeni seviciler partiden gönderilecek eski atatürkçü parti sıfatına geri dönecek ve milliyetçilerin de oylarını arkasına alarak kazanacak çözüm basit. Başta kk aday olmayacaktı artık o da geçti. Anca kazanılırsa böyle kazanılır. Yoksa anca... Alınır,ermeni seviciler,Swearing; Insult; Defamation; Dehumanization
1391751736205926402,Jew,"Beni israilli siyonist yahudiler sizin bunları neden yaptığınız belli 
Son peygamber sizden gelmedi diye Filistinli kardeşlerimizin dünyasını yerle bir ediyorsunuz sırf Peygamberimizin ümmeti diye 
İşte siz bu kadar zavallısınız 
#MescidiAksaOnurumuzdur","Beni israilli siyonist yahudiler sizin bunları neden yaptığınız belli,Filistinli kardeşlerimizin dünyasını yerle bir ediyorsunuz sırf Peygamberimizin ümmeti diye,İşte siz bu kadar zavallısınız","Exaggeration; Generalization; Attribution; Distortion,Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
