genel_tutum,hedef_grup,derece,kategori,saldırgan_dil,tweet_text,annotator,uploaded_at,konu,tweet_id,dil,kategori_count
Anti-Immigrant/Refugee,['Country/Nationality'],6,"['Exaggeration; Generalization; Attribution; Distortion:', 'Threat of Enmity; War; Attack; Murder; or Harm']",Low,"80% السوريين اللى فى مصر محتاجين يتربو فى القسم و يترحلو على بلدهم
و ال20% تترفع عليهم الإقامات ل 3000دولار فى السنة و اللى مش عاجبة سوريا بلده اولى بيه 
#ارجع_يا_سوري_ابنى_بلدك 
#ترحيل_السوريين",Neda,2023-08-04T10:43:22,Arabic,1658208913248907264,,2
Anti-Immigrant/Refugee,['Country/Nationality'],7,"['Exaggeration; Generalization; Attribution; Distortion:', 'Swearing; Insult; Defamation; Dehumanization', 'Threat of Enmity; War; Attack; Murder; or Harm']",High,"كنا ظالمينك ياأم شنطة بما أن الرجال في بلدك إنقرضو فمن حقك شق البحار وعبور القارات بحثا عن من يسقي بستانك القاحللعل ووعسى أن تنجبي جيل فيه ريحة الرجولة وليسو مخانيث مثل ابناء بلدك البوسبيريين
#ترحيل_المغربيات_مطلب_امني 
#ترحيل_المغربيات_مطلب #ترحيل_المراركه_مطلبنا",Neda,2023-12-12T01:42:04,Arabic,1659666317354442752,,3
Anti-Immigrant/Refugee,['Country/Nationality'],3,"['Exclusive/Discriminatory Discourse', 'Symbolization', 'Exaggeration; Generalization; Attribution; Distortion:', 'Swearing; Insult; Defamation; Dehumanization']",Low,"#مشكاتي_تحبك
#ساعة_استحابة 
#ترحيل_المغربيات_مطلب 
#ترحيل_المغربيات_مطلب2 
هذا مسكين سارقه صورته مخربيه عشان تغرد على اساس انها سعودي وتسب السعوديات وتمدح المخربيات",İsla,2024-02-24T15:56:31,Arabic,1659580979273424897,,4
Anti-Immigrant/Refugee,['Country/Nationality'],6,"['Exaggeration; Generalization; Attribution; Distortion:', 'Threat of Enmity; War; Attack; Murder; or Harm']",None,"بعد فتره تطلع تسوي نفسها مشهوره سعوديه
وهاتك بثوث ودعم
ومن خلاله #غسيل_اموال
واضحه الفكره؟
#الحرب_ضد_المخدرات #المخدرات_افة_خطيرة 
#ترحيل_اليمنيين_مطلب_امني_ووطني",Neda,2023-08-03T09:36:56,Arabic,1658050645876789248,,2
Anti-Immigrant/Refugee,"['Target group is unclear or absent', 'Target group is more than one']",5,"['Swearing; Insult; Defamation; Dehumanization', 'Threat of Enmity; War; Attack; Murder; or Harm']",Low,قريبا سيتم ترحيل المشردين الى بلدانهم ووطنهم الاصلي حسب قول وزير الخارجية السعودية,Neda,2023-08-03T09:37:11,Arabic,1659890836996235266,,2
Anti-Immigrant/Refugee,['Country/Nationality'],6,"['Exaggeration; Generalization; Attribution; Distortion:', 'Threat of Enmity; War; Attack; Murder; or Harm']",Low,#ترحيل_المغربيات_مطلب -  هذي البغله ليل نهار تقذف السعوديين والمشكله انها عكست السالفه عشان تتهرب من الحقيقه  والصحيح تشويه سمعة السعوديات من طرف المغربيات,Neda,2024-04-08T12:14:48,Arabic,1657488056411209729,,2
Anti-Immigrant/Refugee,['Country/Nationality'],5,"['Symbolization', 'Exaggeration; Generalization; Attribution; Distortion:', 'Threat of Enmity; War; Attack; Murder; or Harm']",None,"لا انا ماروح عند مخربيات
اخاف اذا قصقصت اظافري تاخذها وتسحرني 
#ترحيل_المغربيات_مطلب 
#ترحيل_المغربيات_مطلب_امني",Neda,2023-08-04T10:43:38,Arabic,1658140982947336193,,3
Anti-Immigrant/Refugee,['Country/Nationality'],7,"['Exaggeration; Generalization; Attribution; Distortion:', 'Threat of Enmity; War; Attack; Murder; or Harm']",None,"المغربيات اذونا بسحرهم وشعوذتهم محد سلم منهم كم عايله دخلو فيها مغربيات وسحروهم وسرقوهم على اي اساس تقول ماذونا!!  هدفهم تفكيك المجتمع السعودي ترحيل مطلب شعبي وامني 
+++مايدافع عن المغربيات الا الاجنبي متنكر كسعودي.",Neda,2023-08-04T10:43:22,Arabic,1657811438109437955,,2
Anti-Immigrant/Refugee,['Country/Nationality'],6,"['Exclusive/Discriminatory Discourse', 'Swearing; Insult; Defamation; Dehumanization', 'Threat of Enmity; War; Attack; Murder; or Harm']",Low,و نرجوا ترحيل الفلسطن إلى #غزة . الفلسطني باع أرضه و نزح عالة و عبء و عاهة على دول و شعوب المنطقة و نزح عالة و عبء و عاهة على دول و شعوب العالم .,Neda,2023-12-12T01:41:58,Arabic,1657638872673648641,,3
Anti-Immigrant/Refugee,['Target group is unclear or absent'],3,['Threat of Enmity; War; Attack; Murder; or Harm'],None,"ومن قال يعيبه أصله
بالعكس
السودان بلد حبيب وقريب للقلب
والأسطورة حبيب لنا
لكن المشكلة بعض الجاليات يبي لهم ترحيل ",Neda,2023-11-14T07:57:27,Arabic,1659312407464771584,,1
