tweet_id,target,text,span,category
1659822657733292035,Immigrant-Refugee_Arabic,"مخربيه متنكره كسعوديه 
الموقع المخرب 
#متنكرين_كالسعوديين 
#متنكرين_كالسعوديين26 
#متنكرين_كالسعوديين27
#ترحيل_المغربيات_مطلب 
#ترحيل_المغربيات_مطلب2","مخربيه متنكره كسعوديه,الموقع المخرب,#ترحيل_المغربيات_مطلب,#ترحيل_المغربيات_مطلب2","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion,Exaggeration; Generalization; Attribution; Distortion"
1658506497242824716,Immigrant-Refugee_Arabic,"نحنا صرنا غربا بالوطن 
نعم مع ترحيل كل اللاجئين من أي جنسية كانت",نعم مع ترحيل كل اللاجئين من أي جنسية كانت,Exclusive/Discriminatory Discourse
1659357590382362624,Immigrant-Refugee_Arabic,"أطالب الاداره بخصم مع ترحيل على جميل 
- هو المسؤول ، حُرمان من فعاليات قويه وصباحيه","ترحيل,حرمان من فعاليات","Exclusive/Discriminatory Discourse,Exclusive/Discriminatory Discourse"
1659628232977596455,Immigrant-Refugee_Arabic,تحلمون حلم بالاقامة عندنا ترحيل يعني ترحيل قالها وزير خارجيتنا خلاص ,"تحلمون حلم بالاقامة عندنا,ترحيل يعني ترحيل","Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion"
1657500178960510977,Immigrant-Refugee_Arabic,مطالبون ترحيل المرراكة من الجزائر مثل ما فعل راحل الرائيس الهوري بومدين  رحمه الله تحيا الجزائر ,ترحيل المرراكة من الجزائر,Threat of Enmity; War; Attack; Murder; or Harm
1659144973386670086,Immigrant-Refugee_Arabic,تفاقمت أزمة وجود السوريين في لبنان، فهم من بداية الحرب نزحوا الى لبنان والى الآن بالرغم من إنحلال الحرب وإمكانهم العودة الى سوريا إلا أنهم لم يذهبوا الى بلدهم . فالحملات قائمة على ترحيل السوريين لأنهم من الواضح أنهم رفضوا العودة الى بلدهم بالرغم من الأزمات الإقتصادية المتصاعدة.,"تفاقمت أزمة وجود السوريين في لبنان,لأنهم من الواضح أنهم رفضوا العودة الى بلدهم بالرغم من الأزمات الإقتصادية المتصاعدة","Exaggeration; Generalization; Attribution; Distortion,Exclusive/Discriminatory Discourse"
1659197840818847749,Immigrant-Refugee_Arabic,يكفي انتشار الامراض وعمليات الابتزاز التي تقوم عن طريق بعضهن حتى يكون  #ترحيل_المغربيات_مطلب2,"انتشار الامراض وعمليات الابتزاز التي تقوم عن طريق بعضهن,#ترحيل_المغربيات_مطلب2","Exaggeration; Generalization; Attribution; Distortion,Exclusive/Discriminatory Discourse"
1659144875370074114,Immigrant-Refugee_Arabic,تكتظ الأحياء العشوائية في جدة ومكة بالجنسيات الأفريقية من المخالفين ونتمنى أن يتم  إن شاء الله ترحيل جميع هؤلاء لخطورة تجمعاتهم، حفظ الله البلاد والعباد من شرهم ومكرهم.,"بالجنسيات الأفريقية من المخالفين,لخطورة تجمعاتهم,حفظ الله البلاد والعباد من شرهم ومكرهم","Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion,Swearing; Insult; Defamation; Dehumanization"
1659562936782946304,Immigrant-Refugee_Arabic,"#كليتشدار_أوغلو يتعهد بطرد جميع #اللاجئين من #تركيا

• حذر من وصول 10 ملايين #لاجئ إذا أعيد انتخاب #أردوغان","بطرد جميع #اللاجئين,حذر من وصول 10 ملايين #لاجئ","Exclusive/Discriminatory Discourse,Exaggeration; Generalization; Attribution; Distortion"
1659235879401947158,Immigrant-Refugee_Arabic,"عقبال مايترحلون
 كل السعوديين والسعوديات متبهذلين منهم #ترحيل_المغربيات_مطلب امين استمري وطن","عقبال مايترحلون,السعوديين والسعوديات متبهذلين منهم","Threat of Enmity; War; Attack; Murder; or Harm,Exaggeration; Generalization; Attribution; Distortion"
